,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes
171,St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,2025-07-29T03:42:28.934051+00:00Z,2,9,1,1,0
172,Bridgman Ave / Bathurst St,43.674444,-79.414722,2025-07-29T03:42:28.788745+00:00Z,0,14,1,1,0
173,Davenport Rd / Bedford Rd,43.674446,-79.398331,2025-07-29T03:42:28.788609+00:00Z,3,10,1,1,1
174,University Ave / College St (East),43.65995,-79.38964,2025-07-29T03:42:28.795937+00:00Z,0,15,1,1,0
175,York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,2025-07-29T03:42:28.932917+00:00Z,12,1,1,1,0
176,Simcoe St / Elm St,43.656038841714505,-79.38970387738495,2025-07-29T03:42:29.068123+00:00Z,0,11,1,1,0
177,24 Mountjoy Ave,43.68049350289877,-79.33044552721375,2025-07-29T03:42:29.216809+00:00Z,13,5,1,1,0
178,Marine Parade Dr / Humber Bay Shores Park Trl,43.626461825093834,-79.47675102302073,2025-07-29T03:42:29.216899+00:00Z,10,7,1,1,0
179,King St W / Spadina Ave,43.64514249449372,-79.39510358283808,2025-07-29T03:42:29.215970+00:00Z,7,11,1,1,0
180,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,2025-07-29T03:42:28.790753+00:00Z,0,34,1,1,0
181,Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,2025-07-29T03:42:29.069089+00:00Z,5,11,1,1,0
182,Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,2025-07-29T03:42:29.068046+00:00Z,0,12,1,1,0
183,Viewmount Park,43.70735572654095,-79.43723072209013,2025-07-29T03:42:28.935219+00:00Z,0,12,1,1,0
184,Housey St / Dan Leckie Way,43.63811,-79.397877,2025-07-29T03:42:28.796420+00:00Z,20,4,1,1,0
185,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,2025-07-29T03:42:28.795979+00:00Z,17,0,1,1,2
186,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,2025-07-29T03:42:28.795069+00:00Z,0,18,1,1,0
187,Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,2025-07-29T03:42:29.068967+00:00Z,7,6,1,1,0
188,Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,2025-07-29T03:42:28.795513+00:00Z,1,11,1,1,0
189,85 Lee Ave,43.6700692,-79.2971326,2025-07-29T03:42:28.933078+00:00Z,0,18,1,1,0
190,King St W / Portland St - SMART,43.644395,-79.40065430000001,2025-07-29T03:42:28.933400+00:00Z,30,2,1,1,0
191,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,2025-07-29T03:42:28.790617+00:00Z,0,17,1,1,0
192,Sussex Ave / St George St,43.665304278965365,-79.39938263802871,2025-07-29T03:42:28.935430+00:00Z,0,15,1,1,0
193,Baldwin St / Henry St,43.6560758,-79.393259,2025-07-29T03:42:28.877839+00:00Z,9,3,1,1,1
194,Donlands Subway Station,43.681114,-79.3373885,2025-07-29T03:42:28.788086+00:00Z,6,9,1,1,1
195,York St / Lake Shore Blvd W,43.641952,-79.380723,2025-07-29T03:42:28.792071+00:00Z,12,5,1,1,0
196,Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,2025-07-29T03:42:29.067803+00:00Z,1,13,1,1,0
197,Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,2025-07-29T03:42:28.789644+00:00Z,1,10,1,1,0
198,Leslie Subway Station,43.77037892370793,-79.36702734195678,2025-07-29T03:42:29.069200+00:00Z,3,12,1,1,0
