,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
72,72,Swansea Community Centre,43.6438036,-79.4770327,2025-07-29,4,10,1,1,0,72,2,0,0,1,7
73,73,The Queensway / High St,43.630874,-79.482407,2025-07-29,16,7,1,1,0,73,0,0,2,2,6
74,74,Esther Shiner Stadium,43.7774374,-79.4447096,2025-07-29,8,14,1,1,1,74,0,0,0,2,8
75,75,Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,2025-07-29,0,15,1,1,0,75,0,0,1,0,9
76,76,College Park - Gerrard Entrance,43.658938,-79.383518,2025-07-29,4,20,1,1,0,76,2,0,0,0,8
77,77,Carlton St / Parliament St,43.664524,-79.36793,2025-07-29,17,7,1,1,2,77,3,0,0,1,6
78,78,Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,2025-07-29,2,13,1,1,1,78,2,0,0,1,7
79,79,Hanna Ave / Snooker St,43.639547,-79.420022,2025-07-29,7,8,1,1,0,79,2,1,1,0,6
80,80,Queen St W / John St,43.650077,-79.391291,2025-07-29,0,19,1,1,0,80,2,1,1,1,5
81,81,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,2025-07-29,2,12,1,1,0,81,0,1,0,2,7
82,82,Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,2025-07-29,0,19,1,1,0,82,1,0,2,1,6
83,83,St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,2025-07-29,5,13,1,1,0,83,1,0,0,2,7
84,84,Jarvis St / Isabella St,43.668991,-79.379385,2025-07-29,4,17,1,1,1,84,3,0,2,1,4
85,85,Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,2025-07-29,11,4,1,1,0,85,0,0,1,0,9
86,86,Bay St / College St (East Side),43.660439,-79.385525,2025-07-29,3,23,1,1,0,86,3,0,0,0,7
87,87,Richmond St W / York St,43.650745,-79.383633,2025-07-29,0,15,1,1,0,87,4,0,0,0,6
88,88,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,2025-07-29,2,16,1,1,1,88,2,0,0,1,7
89,89,Bay St / Bloor St W (West Side),43.669244,-79.3894,2025-07-29,0,19,1,1,0,89,2,0,0,2,6
90,90,Queen St W / Spadina Ave,43.649147,-79.395504,2025-07-29,0,8,1,1,0,90,1,0,2,0,7
91,91,Davenport Rd / Avenue Rd,43.674991,-79.396273,2025-07-29,2,6,1,1,0,91,1,0,0,1,8
92,92,King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,2025-07-29,6,3,1,1,1,92,0,0,1,2,7
93,93,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,2025-07-29,0,19,1,1,0,93,1,0,0,2,7
94,94,Edward St / Yonge St,43.656729,-79.382736,2025-07-29,6,15,1,1,0,94,1,0,0,0,9
95,95,16 Riverview Gardens ,43.64883712159794,-79.48675294250663,2025-07-29,23,4,1,1,21,95,2,1,0,0,7
96,96,Queen's Park / Bloor St W,43.668456,-79.393899,2025-07-29,0,21,1,1,0,96,1,2,0,2,5
97,97,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,2025-07-29,10,0,1,1,1,97,1,0,1,3,5
98,98,Shaw St / King St W,43.6412561641921,-79.41502994047545,2025-07-29,14,0,1,1,0,98,0,0,2,2,6
99,99,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,2025-07-29,4,12,1,1,1,99,0,0,0,3,7
100,100,Castle Frank Subway Station,43.67418030086386,-79.36795839711793,2025-07-29,3,11,1,1,1,100,0,1,1,1,7
